Node	Time	EnergyCarrier	Demand
1	1	Electricity	5
1	2	Electricity	5
1	3	Electricity	5
2	1	Electricity	5
2	2	Electricity	5
2	3	Electricity	5
3	1	Electricity	5
3	2	Electricity	5
3	3	Electricity	5
4	1	Electricity	5
4	2	Electricity	5
4	3	Electricity	5
5	1	Electricity	5
5	2	Electricity	5
5	3	Electricity	5
6	1	Electricity	5
6	2	Electricity	5
6	3	Electricity	5
7	1	Electricity	5
7	2	Electricity	5
7	3	Electricity	5
8	1	Electricity	5
8	2	Electricity	5
8	3	Electricity	5
9	1	Electricity	5
9	2	Electricity	5
9	3	Electricity	5
10	1	Electricity	5
10	2	Electricity	5
10	3	Electricity	5
11	1	Electricity	5
11	2	Electricity	5
11	3	Electricity	5
12	1	Electricity	5
12	2	Electricity	5
12	3	Electricity	5
13	1	Electricity	5
13	2	Electricity	5
13	3	Electricity	5
14	1	Electricity	5
14	2	Electricity	5
14	3	Electricity	5
1	1	LT	2
1	2	LT	2
1	3	LT	2
2	1	LT	2
2	2	LT	2
2	3	LT	2
3	1	LT	2
3	2	LT	2
3	3	LT	2
4	1	LT	2
4	2	LT	2
4	3	LT	2
5	1	LT	2
5	2	LT	2
5	3	LT	2
6	1	LT	2
6	2	LT	2
6	3	LT	2
7	1	LT	2
7	2	LT	2
7	3	LT	2
8	1	LT	2
8	2	LT	2
8	3	LT	2
9	1	LT	2
9	2	LT	2
9	3	LT	2
10	1	LT	2
10	2	LT	2
10	3	LT	2
11	1	LT	2
11	2	LT	2
11	3	LT	2
12	1	LT	2
12	2	LT	2
12	3	LT	2
13	1	LT	2
13	2	LT	2
13	3	LT	2
14	1	LT	2
14	2	LT	2
14	3	LT	2
1	1	MT	2
1	2	MT	2
1	3	MT	2
2	1	MT	2
2	2	MT	2
2	3	MT	2
3	1	MT	2
3	2	MT	2
3	3	MT	2
4	1	MT	2
4	2	MT	2
4	3	MT	2
5	1	MT	2
5	2	MT	2
5	3	MT	2
6	1	MT	2
6	2	MT	2
6	3	MT	2
7	1	MT	2
7	2	MT	2
7	3	MT	2
8	1	MT	2
8	2	MT	2
8	3	MT	2
9	1	MT	2
9	2	MT	2
9	3	MT	2
10	1	MT	2
10	2	MT	2
10	3	MT	2
11	1	MT	2
11	2	MT	2
11	3	MT	2
12	1	MT	2
12	2	MT	2
12	3	MT	2
13	1	MT	2
13	2	MT	2
13	3	MT	2
14	1	MT	2
14	2	MT	2
14	3	MT	2
1	1	H2	0
1	2	H2	0
1	3	H2	0
2	1	H2	0
2	2	H2	0
2	3	H2	0
3	1	H2	0
3	2	H2	0
3	3	H2	0
4	1	H2	0
4	2	H2	0
4	3	H2	0
5	1	H2	0
5	2	H2	0
5	3	H2	0
6	1	H2	0
6	2	H2	0
6	3	H2	0
7	1	H2	0
7	2	H2	0
7	3	H2	0
8	1	H2	0
8	2	H2	0
8	3	H2	0
9	1	H2	0
9	2	H2	0
9	3	H2	0
10	1	H2	0
10	2	H2	0
10	3	H2	0
11	1	H2	0
11	2	H2	0
11	3	H2	0
12	1	H2	0
12	2	H2	0
12	3	H2	0
13	1	H2	0
13	2	H2	0
13	3	H2	0
14	1	H2	0
14	2	H2	0
14	3	H2	0
1	1	CH4	0
1	2	CH4	0
1	3	CH4	0
2	1	CH4	0
2	2	CH4	0
2	3	CH4	0
3	1	CH4	0
3	2	CH4	0
3	3	CH4	0
4	1	CH4	0
4	2	CH4	0
4	3	CH4	0
5	1	CH4	0
5	2	CH4	0
5	3	CH4	0
6	1	CH4	0
6	2	CH4	0
6	3	CH4	0
7	1	CH4	0
7	2	CH4	0
7	3	CH4	0
8	1	CH4	0
8	2	CH4	0
8	3	CH4	0
9	1	CH4	0
9	2	CH4	0
9	3	CH4	0
10	1	CH4	0
10	2	CH4	0
10	3	CH4	0
11	1	CH4	0
11	2	CH4	0
11	3	CH4	0
12	1	CH4	0
12	2	CH4	0
12	3	CH4	0
13	1	CH4	0
13	2	CH4	0
13	3	CH4	0
14	1	CH4	0
14	2	CH4	0
14	3	CH4	0
1	1	Biogas	0
1	2	Biogas	0
1	3	Biogas	0
2	1	Biogas	0
2	2	Biogas	0
2	3	Biogas	0
3	1	Biogas	0
3	2	Biogas	0
3	3	Biogas	0
4	1	Biogas	0
4	2	Biogas	0
4	3	Biogas	0
5	1	Biogas	0
5	2	Biogas	0
5	3	Biogas	0
6	1	Biogas	0
6	2	Biogas	0
6	3	Biogas	0
7	1	Biogas	0
7	2	Biogas	0
7	3	Biogas	0
8	1	Biogas	0
8	2	Biogas	0
8	3	Biogas	0
9	1	Biogas	0
9	2	Biogas	0
9	3	Biogas	0
10	1	Biogas	0
10	2	Biogas	0
10	3	Biogas	0
11	1	Biogas	0
11	2	Biogas	0
11	3	Biogas	0
12	1	Biogas	0
12	2	Biogas	0
12	3	Biogas	0
13	1	Biogas	0
13	2	Biogas	0
13	3	Biogas	0
14	1	Biogas	0
14	2	Biogas	0
14	3	Biogas	0
1	1	CH4_H2_Mix	0
1	2	CH4_H2_Mix	0
1	3	CH4_H2_Mix	0
2	1	CH4_H2_Mix	0
2	2	CH4_H2_Mix	0
2	3	CH4_H2_Mix	0
3	1	CH4_H2_Mix	0
3	2	CH4_H2_Mix	0
3	3	CH4_H2_Mix	0
4	1	CH4_H2_Mix	0
4	2	CH4_H2_Mix	0
4	3	CH4_H2_Mix	0
5	1	CH4_H2_Mix	0
5	2	CH4_H2_Mix	0
5	3	CH4_H2_Mix	0
6	1	CH4_H2_Mix	0
6	2	CH4_H2_Mix	0
6	3	CH4_H2_Mix	0
7	1	CH4_H2_Mix	0
7	2	CH4_H2_Mix	0
7	3	CH4_H2_Mix	0
8	1	CH4_H2_Mix	0
8	2	CH4_H2_Mix	0
8	3	CH4_H2_Mix	0
9	1	CH4_H2_Mix	0
9	2	CH4_H2_Mix	0
9	3	CH4_H2_Mix	0
10	1	CH4_H2_Mix	0
10	2	CH4_H2_Mix	0
10	3	CH4_H2_Mix	0
11	1	CH4_H2_Mix	0
11	2	CH4_H2_Mix	0
11	3	CH4_H2_Mix	0
12	1	CH4_H2_Mix	0
12	2	CH4_H2_Mix	0
12	3	CH4_H2_Mix	0
13	1	CH4_H2_Mix	0
