Node	Time	EnergyCarrier	CostExport
1	1	Electricity	3.363
1	2	Electricity	3.287
1	3	Electricity	4.066
2	1	Electricity	4.579
2	2	Electricity	3.4105
2	3	Electricity	3.363
3	1	Electricity	4.8355
3	2	Electricity	9.6235
3	3	Electricity	11.4095
4	1	Electricity	13.689499999999999
4	2	Electricity	20.159
4	3	Electricity	20.548499999999997
5	1	Electricity	19.959500000000002
5	2	Electricity	19.95
5	3	Electricity	19.931
6	1	Electricity	20.3585
6	2	Electricity	18.8005
6	3	Electricity	17.119
7	1	Electricity	3.363
7	2	Electricity	3.287
7	3	Electricity	4.066
8	1	Electricity	4.579
8	2	Electricity	3.4105
8	3	Electricity	3.363
9	1	Electricity	4.8355
9	2	Electricity	9.6235
9	3	Electricity	11.4095
10	1	Electricity	13.689499999999999
10	2	Electricity	20.159
10	3	Electricity	20.548499999999997
11	1	Electricity	19.959500000000002
11	2	Electricity	19.95
11	3	Electricity	19.931
12	1	Electricity	20.3585
12	2	Electricity	18.8005
12	3	Electricity	17.119
13	1	Electricity	3.363
13	2	Electricity	3.287
13	3	Electricity	4.066
14	1	Electricity	4.579
14	2	Electricity	3.4105
14	3	Electricity	3.363
15	1	Electricity	4.8355
15	2	Electricity	9.6235
15	3	Electricity	11.4095
16	1	Electricity	13.689499999999999
16	2	Electricity	20.159
16	3	Electricity	20.548499999999997
17	1	Electricity	19.959500000000002
17	2	Electricity	19.95
17	3	Electricity	19.931
18	1	Electricity	20.3585
18	2	Electricity	18.8005
18	3	Electricity	17.119
19	1	Electricity	17.119
19	2	Electricity	17.119
19	3	Electricity	17.119
20	1	Electricity	17.119
20	2	Electricity	17.119
20	3	Electricity	17.119
1	1	LT	7.904
1	2	LT	3.9292
1	3	LT	3.7087999999999997
2	1	LT	4.0356
2	2	LT	3.9444
2	3	LT	4.8792
3	1	LT	5.4948
3	2	LT	4.0926
3	3	LT	4.0356
4	1	LT	5.802599999999999
4	2	LT	11.5482
4	3	LT	13.691399999999998
5	1	LT	16.4274
5	2	LT	24.190799999999996
5	3	LT	24.658199999999997
6	1	LT	23.9514
6	2	LT	23.939999999999998
6	3	LT	23.9172
7	1	LT	7.904
7	2	LT	3.9292
7	3	LT	3.7087999999999997
8	1	LT	4.0356
8	2	LT	3.9444
8	3	LT	4.8792
9	1	LT	5.4948
9	2	LT	4.0926
9	3	LT	4.0356
10	1	LT	5.802599999999999
10	2	LT	11.5482
10	3	LT	13.691399999999998
11	1	LT	16.4274
11	2	LT	24.190799999999996
11	3	LT	24.658199999999997
12	1	LT	23.9514
12	2	LT	23.939999999999998
12	3	LT	23.9172
13	1	LT	7.904
13	2	LT	3.9292
13	3	LT	3.7087999999999997
14	1	LT	4.0356
14	2	LT	3.9444
14	3	LT	4.8792
15	1	LT	5.4948
15	2	LT	4.0926
15	3	LT	4.0356
16	1	LT	5.802599999999999
16	2	LT	11.5482
16	3	LT	13.691399999999998
17	1	LT	16.4274
17	2	LT	24.190799999999996
17	3	LT	24.658199999999997
18	1	LT	23.9514
18	2	LT	23.939999999999998
18	3	LT	23.9172
19	1	LT	23.9172
19	2	LT	23.9172
19	3	LT	23.9172
20	1	LT	23.9172
20	2	LT	23.9172
20	3	LT	23.9172
1	1	MT	0.0
1	2	MT	0.0
1	3	MT	0.0
2	1	MT	0.0
2	2	MT	0.0
2	3	MT	0.0
3	1	MT	0.0
3	2	MT	0.0
3	3	MT	0.0
4	1	MT	0.0
4	2	MT	0.0
4	3	MT	0.0
5	1	MT	0.0
5	2	MT	0.0
5	3	MT	0.0
6	1	MT	0.0
6	2	MT	0.0
6	3	MT	0.0
7	1	MT	0.0
7	2	MT	0.0
7	3	MT	0.0
8	1	MT	0.0
8	2	MT	0.0
8	3	MT	0.0
9	1	MT	0.0
9	2	MT	0.0
9	3	MT	0.0
10	1	MT	0.0
10	2	MT	0.0
10	3	MT	0.0
11	1	MT	0.0
11	2	MT	0.0
11	3	MT	0.0
12	1	MT	0.0
12	2	MT	0.0
12	3	MT	0.0
13	1	MT	0.0
13	2	MT	0.0
13	3	MT	0.0
14	1	MT	0.0
14	2	MT	0.0
14	3	MT	0.0
15	1	MT	0.0
15	2	MT	0.0
15	3	MT	0.0
16	1	MT	0.0
16	2	MT	0.0
16	3	MT	0.0
17	1	MT	0.0
17	2	MT	0.0
17	3	MT	0.0
18	1	MT	0.0
18	2	MT	0.0
18	3	MT	0.0
19	1	MT	0.0
19	2	MT	0.0
19	3	MT	0.0
20	1	MT	0.0
20	2	MT	0.0
20	3	MT	0.0
1	1	H2	0.0
1	2	H2	0.0
1	3	H2	0.0
2	1	H2	0.0
2	2	H2	0.0
2	3	H2	0.0
3	1	H2	0.0
3	2	H2	0.0
3	3	H2	0.0
4	1	H2	0.0
4	2	H2	0.0
4	3	H2	0.0
5	1	H2	0.0
5	2	H2	0.0
5	3	H2	0.0
6	1	H2	0.0
6	2	H2	0.0
6	3	H2	0.0
7	1	H2	0.0
7	2	H2	0.0
7	3	H2	0.0
8	1	H2	0.0
8	2	H2	0.0
8	3	H2	0.0
9	1	H2	0.0
9	2	H2	0.0
9	3	H2	0.0
10	1	H2	0.0
10	2	H2	0.0
10	3	H2	0.0
11	1	H2	0.0
11	2	H2	0.0
11	3	H2	0.0
12	1	H2	0.0
12	2	H2	0.0
12	3	H2	0.0
13	1	H2	0.0
13	2	H2	0.0
13	3	H2	0.0
14	1	H2	0.0
14	2	H2	0.0
14	3	H2	0.0
15	1	H2	0.0
15	2	H2	0.0
15	3	H2	0.0
16	1	H2	0.0
16	2	H2	0.0
16	3	H2	0.0
17	1	H2	0.0
17	2	H2	0.0
17	3	H2	0.0
18	1	H2	0.0
18	2	H2	0.0
18	3	H2	0.0
19	1	H2	0.0
19	2	H2	0.0
19	3	H2	0.0
20	1	H2	0.0
20	2	H2	0.0
20	3	H2	0.0
1	1	CH4	0.0
1	2	CH4	0.0
1	3	CH4	0.0
2	1	CH4	0.0
2	2	CH4	0.0
2	3	CH4	0.0
3	1	CH4	0.0
3	2	CH4	0.0
3	3	CH4	0.0
4	1	CH4	0.0
4	2	CH4	0.0
4	3	CH4	0.0
5	1	CH4	0.0
5	2	CH4	0.0
5	3	CH4	0.0
6	1	CH4	0.0
6	2	CH4	0.0
6	3	CH4	0.0
7	1	CH4	0.0
7	2	CH4	0.0
7	3	CH4	0.0
8	1	CH4	0.0
8	2	CH4	0.0
8	3	CH4	0.0
9	1	CH4	0.0
9	2	CH4	0.0
9	3	CH4	0.0
10	1	CH4	0.0
10	2	CH4	0.0
10	3	CH4	0.0
11	1	CH4	0.0
11	2	CH4	0.0
11	3	CH4	0.0
12	1	CH4	0.0
12	2	CH4	0.0
12	3	CH4	0.0
13	1	CH4	0.0
13	2	CH4	0.0
13	3	CH4	0.0
14	1	CH4	0.0
14	2	CH4	0.0
14	3	CH4	0.0
15	1	CH4	0.0
15	2	CH4	0.0
15	3	CH4	0.0
16	1	CH4	0.0
16	2	CH4	0.0
16	3	CH4	0.0
17	1	CH4	0.0
17	2	CH4	0.0
17	3	CH4	0.0
18	1	CH4	0.0
18	2	CH4	0.0
18	3	CH4	0.0
19	1	CH4	0.0
19	2	CH4	0.0
19	3	CH4	0.0
20	1	CH4	0.0
20	2	CH4	0.0
20	3	CH4	0.0
1	1	Biogas	150.15
1	2	Biogas	150.15
1	3	Biogas	150.15
2	1	Biogas	150.15
2	2	Biogas	150.15
2	3	Biogas	150.15
3	1	Biogas	150.15
3	2	Biogas	150.15
3	3	Biogas	150.15
4	1	Biogas	150.15
4	2	Biogas	150.15
4	3	Biogas	150.15
5	1	Biogas	150.15
5	2	Biogas	150.15
5	3	Biogas	150.15
6	1	Biogas	150.15
6	2	Biogas	150.15
6	3	Biogas	150.15
7	1	Biogas	150.15
7	2	Biogas	150.15
7	3	Biogas	150.15
8	1	Biogas	150.15
8	2	Biogas	150.15
8	3	Biogas	150.15
9	1	Biogas	150.15
9	2	Biogas	150.15
9	3	Biogas	150.15
10	1	Biogas	150.15
