Node	Time	RKUpPrice
1	1	3.8940000000000006
1	2	3.806
1	3	4.708000000000001
2	1	5.3020000000000005
2	2	3.9490000000000003
2	3	3.9490000000000003
3	1	5.599
3	2	11.143000000000002
3	3	13.211
4	1	15.851
4	2	23.342000000000002
4	3	23.793
5	1	23.111000000000004
5	2	23.1
5	3	23.078000000000003
6	1	23.573
6	2	21.769000000000002
6	3	19.822000000000003
7	1	10.13
7	2	12.01
7	3	14.41
8	1	21.22
8	2	21.63
8	3	21.01
9	1	21.0
9	2	20.98
9	3	21.43
10	1	19.79
10	2	18.02
10	3	10.13
11	1	12.01
11	2	14.41
11	3	21.22
12	1	21.63
12	2	21.01
12	3	21.0
13	1	20.98
13	2	21.43
13	3	19.79
14	1	18.02
14	2	10.13
14	3	12.01
15	1	14.41
15	2	21.22
15	3	21.63
16	1	21.01
16	2	21.0
16	3	20.98
17	1	21.43
17	2	19.79
17	3	18.02
18	1	10.13
18	2	12.01
18	3	14.41
19	1	21.22
19	2	21.63
19	3	21.01
20	1	21.0
20	2	20.98
20	3	21.43
