Node	Time	SpotPrice
1	1	3.54
1	2	3.46
1	3	4.28
2	1	4.82
2	2	3.59
2	3	3.59
3	1	5.09
3	2	10.13
3	3	12.01
4	1	14.41
4	2	21.22
4	3	21.63
5	1	21.01
5	2	21.0
5	3	20.98
6	1	21.43
6	2	19.79
6	3	18.02
7	1	10.13
7	2	12.01
7	3	14.41
8	1	21.22
8	2	21.63
8	3	21.01
9	1	21.0
9	2	20.98
9	3	21.43
10	1	19.79
10	2	18.02
10	3	10.13
11	1	12.01
11	2	14.41
11	3	21.22
12	1	21.63
12	2	21.01
12	3	21.0
13	1	20.98
13	2	21.43
13	3	19.79
14	1	18.02
14	2	10.13
14	3	12.01
15	1	14.41
15	2	21.22
15	3	21.63
16	1	21.01
16	2	21.0
16	3	20.98
17	1	21.43
17	2	19.79
17	3	18.02
18	1	10.13
18	2	12.01
18	3	14.41
19	1	21.22
19	2	21.63
19	3	21.01
20	1	21.0
20	2	20.98
20	3	21.43
