Technology	EnergyCarrier	Operational_mode_
Power_Grid	Electricity	1
ElectricBoiler	LT	1
ElectricBoiler	MT	2
HeatPump_LT	LT	1
HeatPump_MT	MT	1
PV	Electricity	1
P2G	H2	1
G2P	Electricity	1
GasBoiler	LT	1
GasBoiler	MT	2
GasBoiler	LT	3
GasBoiler	MT	4
GasBoiler	LT	5
GasBoiler	MT	6
CHP	LT	1
CHP	Electricity	1
CHP	MT	2
CHP	Electricity	2
CHP	LT	3
CHP	Electricity	3
CHP	MT	4
CHP	Electricity	4
CHP	LT	5
CHP	Electricity	5
CHP	MT	6
CHP	Electricity	6
Biogas_Grid	Biogas	1
CH4_Grid	CH4	1
CH4_H2_Mixer	CH4_H2_Mix	1
